Fecha,Caudal río Cúa en Quilós (A024_ACQRIO1),Caudal río Burbia en Villafranca Bierzo (A026_ACQRIO1),Caudal río Selmo en Oencia (N008_ACQRIO1),Suma de aportaciones
2026-05-16 22:30:00,7.99,7.42,2.12,17.53
2026-05-16 22:15:00,7.99,7.42,2.12,17.53
2026-05-16 22:00:00,7.99,7.42,1.97,17.38
2026-05-16 21:45:00,7.99,7.42,2.12,17.53
2026-05-16 21:30:00,7.99,7.42,2.12,17.53
2026-05-16 21:15:00,7.99,7.42,2.12,17.53
2026-05-16 21:00:00,7.99,7.42,2.12,17.53
2026-05-16 20:45:00,7.99,7.42,2.12,17.53
2026-05-16 20:30:00,7.99,7.42,2.12,17.53
2026-05-16 20:15:00,7.99,7.42,2.12,17.53
2026-05-16 20:00:00,7.99,7.42,2.12,17.53
2026-05-16 19:45:00,7.99,7.42,2.12,17.53
2026-05-16 19:30:00,7.99,7.42,2.12,17.53
2026-05-16 19:15:00,7.99,7.42,2.12,17.53
2026-05-16 19:00:00,7.99,7.42,2.12,17.53
2026-05-16 18:45:00,7.99,7.42,2.12,17.53
2026-05-16 18:30:00,7.99,7.42,2.12,17.53
2026-05-16 18:15:00,7.99,7.64,2.12,17.75
2026-05-16 18:00:00,7.99,7.64,2.12,17.75
2026-05-16 17:45:00,7.99,7.42,2.12,17.53
2026-05-16 17:30:00,7.99,7.64,2.12,17.75
2026-05-16 17:15:00,7.99,7.64,2.12,17.75
2026-05-16 17:00:00,7.99,7.64,2.12,17.75
2026-05-16 16:45:00,7.99,7.64,2.12,17.75
2026-05-16 16:30:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 16:15:00,7.99,7.64,2.12,17.75
2026-05-16 16:00:00,7.99,7.64,2.12,17.75
2026-05-16 15:45:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 15:30:00,7.99,7.64,2.12,17.75
2026-05-16 15:15:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 15:00:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 14:45:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 14:30:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 14:15:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 14:00:00,8.32,7.86,2.12,18.3
2026-05-16 13:45:00,8.32,7.86,2.12,18.3
2026-05-16 13:30:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 13:15:00,8.32,7.64,2.12,18.080000000000002
2026-05-16 13:00:00,8.32,7.86,2.12,18.3
2026-05-16 12:45:00,8.32,7.86,2.12,18.3
2026-05-16 12:30:00,8.32,7.86,2.12,18.3
2026-05-16 12:15:00,8.32,7.86,2.12,18.3
2026-05-16 12:00:00,8.32,7.86,2.12,18.3
2026-05-16 11:45:00,8.32,7.86,2.12,18.3
2026-05-16 11:30:00,8.32,7.86,2.12,18.3
2026-05-16 11:15:00,8.32,7.86,2.12,18.3
2026-05-16 11:00:00,8.32,7.86,2.12,18.3
2026-05-16 10:45:00,8.32,7.86,2.12,18.3
2026-05-16 10:30:00,8.32,7.86,2.12,18.3
2026-05-16 10:15:00,8.32,7.86,2.12,18.3
2026-05-16 10:00:00,8.32,7.86,2.12,18.3
2026-05-16 09:45:00,8.32,7.86,2.12,18.3
2026-05-16 09:30:00,8.32,7.86,2.12,18.3
2026-05-16 09:15:00,8.32,7.86,2.12,18.3
2026-05-16 09:00:00,8.32,7.86,2.12,18.3
2026-05-16 08:45:00,8.32,7.86,2.12,18.3
2026-05-16 08:30:00,8.32,7.86,2.12,18.3
2026-05-16 08:15:00,8.32,7.86,2.12,18.3
2026-05-16 08:00:00,8.32,7.86,2.12,18.3
2026-05-16 07:45:00,8.32,7.86,2.12,18.3
2026-05-16 07:30:00,8.65,7.86,2.12,18.630000000000003
2026-05-16 07:15:00,8.32,7.86,2.12,18.3
2026-05-16 07:00:00,8.32,7.86,2.12,18.3
2026-05-16 06:45:00,8.65,7.86,2.12,18.630000000000003
2026-05-16 06:30:00,8.65,7.86,2.12,18.630000000000003
2026-05-16 06:15:00,8.65,7.86,2.12,18.630000000000003
2026-05-16 06:00:00,8.65,7.86,2.12,18.630000000000003
2026-05-16 05:45:00,8.65,7.86,2.12,18.630000000000003
2026-05-16 05:30:00,8.65,8.08,2.12,18.85
2026-05-16 05:15:00,8.65,8.08,2.12,18.85
2026-05-16 05:00:00,8.65,8.08,2.12,18.85
2026-05-16 04:45:00,8.65,8.08,2.12,18.85
2026-05-16 04:30:00,8.65,8.08,2.12,18.85
2026-05-16 04:15:00,8.65,8.08,2.12,18.85
2026-05-16 04:00:00,8.65,8.08,2.12,18.85
2026-05-16 03:45:00,8.65,8.08,2.12,18.85
2026-05-16 03:30:00,8.65,8.08,2.12,18.85
2026-05-16 03:15:00,8.65,8.08,2.12,18.85
2026-05-16 03:00:00,8.65,8.08,2.12,18.85
2026-05-16 02:45:00,8.65,8.08,2.12,18.85
2026-05-16 02:30:00,8.65,8.08,2.12,18.85
2026-05-16 02:15:00,8.65,8.08,2.12,18.85
2026-05-16 02:00:00,8.65,8.08,2.12,18.85
2026-05-16 01:45:00,8.65,8.08,2.12,18.85
2026-05-16 01:30:00,8.65,8.08,2.12,18.85
2026-05-16 01:15:00,8.65,8.08,2.28,19.01
2026-05-16 01:00:00,8.65,8.08,2.12,18.85
2026-05-16 00:45:00,8.65,8.08,2.28,19.01
2026-05-16 00:30:00,8.65,8.08,2.28,19.01
2026-05-16 00:15:00,8.65,8.08,2.12,18.85
2026-05-16 00:00:00,8.65,8.08,2.28,19.01
2026-05-15 23:45:00,8.65,8.08,2.28,19.01
2026-05-15 23:30:00,8.65,8.08,2.28,19.01
2026-05-15 23:15:00,8.65,8.08,2.28,19.01
2026-05-15 23:00:00,8.65,8.08,2.12,18.85
2026-05-15 22:45:00,8.65,8.08,2.28,19.01
2026-05-15 22:30:00,8.65,8.08,2.28,19.01
2026-05-15 22:15:00,8.65,8.08,2.28,19.01
2026-05-15 22:00:00,8.65,8.31,2.12,19.080000000000002
2026-05-15 21:45:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 21:30:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 21:15:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 21:00:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 20:45:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 20:30:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 20:15:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 20:00:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 19:45:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 19:30:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 19:15:00,8.65,8.31,2.28,19.240000000000002
2026-05-15 19:00:00,8.65,8.54,2.28,19.47
2026-05-15 18:45:00,8.65,8.54,2.28,19.47
2026-05-15 18:30:00,8.65,8.54,2.28,19.47
2026-05-15 18:15:00,8.65,8.54,2.28,19.47
2026-05-15 18:00:00,8.65,8.54,2.28,19.47
2026-05-15 17:45:00,8.65,8.54,2.28,19.47
2026-05-15 17:30:00,8.65,8.54,2.28,19.47
2026-05-15 17:15:00,8.65,8.54,2.28,19.47
2026-05-15 17:00:00,8.65,8.54,2.28,19.47
2026-05-15 16:45:00,8.65,8.54,2.28,19.47
2026-05-15 16:30:00,8.32,8.54,2.28,19.14
2026-05-15 16:15:00,8.32,8.54,2.28,19.14
2026-05-15 16:00:00,8.32,8.54,2.28,19.14
2026-05-15 15:45:00,8.32,8.31,2.28,18.910000000000004
2026-05-15 15:30:00,8.32,8.31,2.28,18.910000000000004
2026-05-15 15:15:00,7.99,8.31,2.28,18.580000000000002
2026-05-15 15:00:00,7.99,8.31,2.28,18.580000000000002
2026-05-15 14:45:00,7.99,8.08,2.28,18.35
2026-05-15 14:30:00,7.99,8.08,2.28,18.35
2026-05-15 14:15:00,7.99,8.08,2.28,18.35
2026-05-15 14:00:00,7.99,7.86,2.28,18.130000000000003
2026-05-15 13:45:00,7.99,7.86,2.28,18.130000000000003
2026-05-15 13:30:00,7.99,7.86,2.28,18.130000000000003
2026-05-15 13:15:00,7.99,7.86,2.28,18.130000000000003
2026-05-15 13:00:00,7.66,7.86,2.28,17.8
2026-05-15 12:45:00,7.66,7.86,2.28,17.8
2026-05-15 12:30:00,7.66,7.86,2.28,17.8
2026-05-15 12:15:00,7.66,7.86,2.28,17.8
2026-05-15 12:00:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 11:45:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 11:30:00,7.66,7.86,2.28,17.8
2026-05-15 11:15:00,7.66,7.86,2.28,17.8
2026-05-15 11:00:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 10:45:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 10:30:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 10:15:00,7.66,7.86,2.28,17.8
2026-05-15 10:00:00,7.66,7.86,2.28,17.8
2026-05-15 09:45:00,7.66,7.86,2.28,17.8
2026-05-15 09:30:00,7.66,7.86,2.28,17.8
2026-05-15 09:15:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 09:00:00,7.66,7.86,2.28,17.8
2026-05-15 08:45:00,7.66,7.86,2.28,17.8
2026-05-15 08:30:00,7.66,7.86,2.28,17.8
2026-05-15 08:15:00,7.66,7.86,2.28,17.8
2026-05-15 08:00:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 07:45:00,7.66,7.86,2.28,17.8
2026-05-15 07:30:00,7.66,7.86,2.28,17.8
2026-05-15 07:15:00,7.66,7.86,2.45,17.97
2026-05-15 07:00:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 06:45:00,7.66,7.64,2.28,17.580000000000002
2026-05-15 06:30:00,7.66,7.86,2.45,17.97
2026-05-15 06:15:00,7.66,7.86,2.28,17.8
2026-05-15 06:00:00,7.66,7.86,2.28,17.8
2026-05-15 05:45:00,7.66,7.86,2.45,17.97
2026-05-15 05:30:00,7.66,7.86,2.45,17.97
2026-05-15 05:15:00,7.66,7.86,2.28,17.8
2026-05-15 05:00:00,7.66,7.86,2.45,17.97
2026-05-15 04:45:00,7.66,7.86,2.45,17.97
2026-05-15 04:30:00,7.66,7.86,2.45,17.97
2026-05-15 04:15:00,7.35,7.86,2.45,17.66
2026-05-15 04:00:00,7.66,7.64,2.45,17.75
2026-05-15 03:45:00,7.35,7.86,2.45,17.66
2026-05-15 03:30:00,7.66,7.86,2.45,17.97
2026-05-15 03:15:00,7.66,7.86,2.45,17.97
2026-05-15 03:00:00,7.66,7.86,2.45,17.97
2026-05-15 02:45:00,7.35,7.86,2.45,17.66
2026-05-15 02:30:00,7.35,7.86,2.45,17.66
2026-05-15 02:15:00,7.35,7.86,2.45,17.66
2026-05-15 02:00:00,7.35,7.86,2.45,17.66
2026-05-15 01:45:00,7.35,7.64,2.45,17.439999999999998
2026-05-15 01:30:00,7.35,7.86,2.45,17.66
2026-05-15 01:15:00,7.35,7.86,2.45,17.66
2026-05-15 01:00:00,7.35,7.86,2.45,17.66
2026-05-15 00:45:00,7.35,7.86,2.45,17.66
2026-05-15 00:30:00,7.35,7.86,2.45,17.66
2026-05-15 00:15:00,7.35,7.86,2.45,17.66
2026-05-15 00:00:00,7.35,7.86,2.45,17.66
2026-05-14 23:45:00,7.35,7.86,2.28,17.490000000000002
2026-05-14 23:30:00,7.35,7.86,2.28,17.490000000000002
2026-05-14 23:15:00,7.35,7.86,2.45,17.66
2026-05-14 23:00:00,7.35,7.86,2.45,17.66
2026-05-14 22:45:00,7.35,7.86,2.45,17.66
2026-05-14 22:30:00,7.35,7.86,2.45,17.66
2026-05-14 22:15:00,7.35,7.86,2.45,17.66
2026-05-14 22:00:00,7.35,7.86,2.45,17.66
2026-05-14 21:45:00,7.35,7.86,2.28,17.490000000000002
2026-05-14 21:30:00,7.35,7.86,2.45,17.66
2026-05-14 21:15:00,7.35,7.86,2.45,17.66
2026-05-14 21:00:00,7.35,7.86,2.45,17.66
2026-05-14 20:45:00,7.35,7.86,2.28,17.490000000000002
2026-05-14 20:30:00,7.35,7.86,2.45,17.66
2026-05-14 20:15:00,7.35,7.86,2.45,17.66
2026-05-14 20:00:00,7.35,7.86,2.45,17.66
2026-05-14 19:45:00,7.35,7.86,2.45,17.66
2026-05-14 19:30:00,7.66,7.86,2.45,17.97
2026-05-14 19:15:00,7.66,7.86,2.45,17.97
2026-05-14 19:00:00,7.66,7.86,2.45,17.97
2026-05-14 18:45:00,7.66,7.86,2.45,17.97
2026-05-14 18:30:00,7.66,7.86,2.45,17.97
2026-05-14 18:15:00,7.66,7.86,2.45,17.97
2026-05-14 18:00:00,7.66,7.86,2.45,17.97
2026-05-14 17:45:00,7.66,7.86,2.45,17.97
2026-05-14 17:30:00,7.66,7.86,2.45,17.97
2026-05-14 17:15:00,7.66,7.86,2.45,17.97
2026-05-14 17:00:00,7.66,7.86,2.45,17.97
2026-05-14 16:45:00,7.66,7.86,2.45,17.97
2026-05-14 16:30:00,7.66,7.86,2.45,17.97
2026-05-14 16:15:00,7.66,7.86,2.45,17.97
2026-05-14 16:00:00,7.66,8.08,2.45,18.19
2026-05-14 15:45:00,7.66,8.08,2.45,18.19
2026-05-14 15:30:00,7.66,8.08,2.45,18.19
2026-05-14 15:15:00,7.66,8.08,2.45,18.19
2026-05-14 15:00:00,7.66,8.08,2.45,18.19
2026-05-14 14:45:00,7.66,8.08,2.45,18.19
2026-05-14 14:30:00,7.66,8.08,2.45,18.19
2026-05-14 14:15:00,7.66,8.08,2.63,18.37
2026-05-14 14:00:00,7.66,8.08,2.45,18.19
2026-05-14 13:45:00,7.66,8.08,2.45,18.19
2026-05-14 13:30:00,7.66,8.08,2.45,18.19
2026-05-14 13:15:00,7.66,8.08,2.45,18.19
2026-05-14 13:00:00,7.66,8.08,2.45,18.19
2026-05-14 12:45:00,7.66,8.08,2.63,18.37
2026-05-14 12:30:00,7.66,8.08,2.45,18.19
2026-05-14 12:15:00,7.66,8.08,2.63,18.37
2026-05-14 12:00:00,7.66,8.08,2.63,18.37
2026-05-14 11:45:00,7.66,8.08,2.63,18.37
2026-05-14 11:30:00,7.66,8.08,2.63,18.37
2026-05-14 11:15:00,7.66,8.08,2.63,18.37
2026-05-14 11:00:00,7.66,8.08,2.63,18.37
2026-05-14 10:45:00,7.66,8.08,2.63,18.37
2026-05-14 10:30:00,7.66,8.08,2.63,18.37
2026-05-14 10:15:00,7.66,8.08,2.63,18.37
2026-05-14 10:00:00,7.66,8.08,2.63,18.37
2026-05-14 09:45:00,7.66,8.08,2.63,18.37
2026-05-14 09:30:00,7.66,8.08,2.63,18.37
2026-05-14 09:15:00,7.66,8.08,2.63,18.37
2026-05-14 09:00:00,7.66,8.08,2.63,18.37
2026-05-14 08:45:00,7.66,8.31,2.63,18.6
2026-05-14 08:30:00,7.66,8.31,2.63,18.6
2026-05-14 08:15:00,7.66,8.31,2.63,18.6
2026-05-14 08:00:00,7.66,8.31,2.63,18.6
2026-05-14 07:45:00,7.66,8.31,2.63,18.6
2026-05-14 07:30:00,7.66,8.31,2.63,18.6
2026-05-14 07:15:00,7.66,8.31,2.63,18.6
2026-05-14 07:00:00,7.66,8.31,2.63,18.6
2026-05-14 06:45:00,7.66,8.31,2.63,18.6
2026-05-14 06:30:00,7.66,8.31,2.63,18.6
2026-05-14 06:15:00,7.66,8.31,2.63,18.6
2026-05-14 06:00:00,7.66,8.31,2.63,18.6
2026-05-14 05:45:00,7.66,8.31,2.63,18.6
2026-05-14 05:30:00,7.66,8.31,2.63,18.6
2026-05-14 05:15:00,7.66,8.31,2.82,18.79
2026-05-14 05:00:00,7.66,8.31,2.63,18.6
2026-05-14 04:45:00,7.66,8.31,2.63,18.6
2026-05-14 04:30:00,7.66,8.31,2.82,18.79
2026-05-14 04:15:00,7.66,8.31,2.82,18.79
2026-05-14 04:00:00,7.66,8.31,2.63,18.6
2026-05-14 03:45:00,7.66,8.31,2.82,18.79
2026-05-14 03:30:00,7.66,8.31,2.82,18.79
2026-05-14 03:15:00,7.66,8.31,2.82,18.79
2026-05-14 03:00:00,7.66,8.31,2.82,18.79
2026-05-14 02:45:00,7.66,8.31,2.82,18.79
2026-05-14 02:30:00,7.66,8.31,2.82,18.79
2026-05-14 02:15:00,7.66,8.31,2.82,18.79
2026-05-14 02:00:00,7.66,8.31,2.82,18.79
2026-05-14 01:45:00,7.66,8.31,2.82,18.79
2026-05-14 01:30:00,7.66,8.31,2.82,18.79
2026-05-14 01:15:00,7.66,8.31,2.82,18.79
2026-05-14 01:00:00,7.66,8.31,2.82,18.79
2026-05-14 00:45:00,7.66,8.31,2.82,18.79
2026-05-14 00:30:00,7.66,8.31,2.82,18.79
2026-05-14 00:15:00,7.66,8.31,2.82,18.79
2026-05-14 00:00:00,7.66,8.31,2.82,18.79
